Purpose Code,Revised Purpose Code,diff purp code,Collateral Code,Revised Collateral Code,diff coll code,purp/coll diff,Property Type,Net Operating Income,Annual Debt Service,Appraised Value,SWAP?,State,Bank,Team,Region,Original             Balance,Net Current Balance,Unused Commitment,Open   Date,Date Maturity,Interest Rate,Guarantor?,Risk Code,Relationship ID,Division
98,90,diff,8602,8602,match,diff/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"299,265.74 ",0.00 ,"299,265.74 ",03/03/10,12/31/79,4.75%,YES,4,5436,Lancaster Division
98,98,match,8409,8409,match,match/match,Other,,,,,PA,FB,MOWERY,CPA,"26,592.80 ",0.00 ,"26,592.80 ",08/22/12,12/31/79,5.25%,no,5,9388,Lancaster Division
98,98,match,,8602,diff,match/diff,Homebuilder,,,,,PA,FB,MOWERY,CPA,"2,220,518.17 ",0.00 ,"2,220,518.17 ",08/03/07,12/31/79,4.25%,no,6,10134,Lancaster Division
98,98,match,8604,8604,match,match/match,Other,,,,,PA,FB,MOWERY,CPA,"282,245.65 ",0.00 ,"282,245.65 ",11/08/17,12/31/79,5.25%,YES,4,4032,Lancaster Division
98,98,match,8606,8300,diff,match/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"82,087.00 ",0.00 ,"82,087.00 ",03/29/13,12/31/79,5.25%,YES,5,8423,Lancaster Division
98,94,diff,8800,8800,match,diff/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"134,618.00 ",0.00 ,"134,618.00 ",01/04/17,01/04/19,7.20%,no,4,5436,Lancaster Division
98,98,match,8602,8602,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"16,566.00 ",0.00 ,"16,566.00 ",11/14/08,12/31/79,5.25%,no,5,8423,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"694,472.88 ",0.00 ,"694,472.88 ",07/03/07,12/31/79,5.25%,YES,5,9615,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"238,205.00 ",0.00 ,"238,205.00 ",04/14/17,12/31/79,5.25%,no,5,9615,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"1,009,778.00 ",0.00 ,"1,009,778.00 ",04/14/17,12/31/79,5.25%,no,5,9615,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"88,771.00 ",0.00 ,"88,771.00 ",06/14/05,12/31/79,0.00%,no,4,9325,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"85,326.12 ",0.00 ,"85,326.12 ",09/27/11,12/31/79,0.00%,no,4,9325,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"31,200.00 ",0.00 ,"31,200.00 ",04/21/16,12/31/79,5.25%,no,4,9325,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"596,221.56 ",0.00 ,"596,221.56 ",06/06/16,12/31/79,5.25%,no,4,9325,Lancaster Division
98,98,match,8602,8602,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"32,497.40 ",0.00 ,"32,497.40 ",03/08/13,12/31/79,4.59%,no,4,5436,Lancaster Division
98,98,match,8602,8602,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"13,623.80 ",0.00 ,"13,623.80 ",05/09/13,12/31/79,4.59%,no,4,5436,Lancaster Division
98,98,match,8602,8602,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"202,952.40 ",0.00 ,"202,952.40 ",03/03/10,12/31/79,4.75%,YES,4,5436,Lancaster Division
98,98,match,8602,8602,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"9,263.90 ",0.00 ,"9,263.90 ",04/15/10,12/31/79,5.25%,YES,5,8700,Lancaster Division
98,98,match,8602,8602,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"12,351.75 ",0.00 ,"12,351.75 ",04/15/10,12/31/79,5.25%,YES,5,8700,Lancaster Division
98,98,match,8602,8602,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"15,371.25 ",0.00 ,"15,371.25 ",04/15/10,12/31/79,5.25%,YES,5,8700,Lancaster Division
98,98,match,8602,8602,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"21,087.75 ",0.00 ,"21,087.75 ",04/15/10,12/31/79,5.25%,YES,5,8700,Lancaster Division
98,98,match,8602,8602,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"17,500.00 ",0.00 ,"17,500.00 ",10/13/16,12/31/79,5.25%,no,5,8700,Lancaster Division
98,98,match,,1,diff,match/diff,Other,,,,,PA,FB,MOWERY,CPA,"34,243.20 ",0.00 ,"34,243.20 ",09/19/12,12/31/79,5.25%,no,5,1753,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"249,965.20 ",0.00 ,"249,965.20 ",03/28/14,12/31/79,5.25%,YES,5,16772,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"26,268.00 ",0.00 ,"26,268.00 ",03/28/14,12/31/79,5.25%,YES,5,16772,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"330,449.04 ",0.00 ,"330,449.04 ",08/09/13,12/31/79,5.25%,no,4,3956,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"500,067.39 ",0.00 ,"500,067.39 ",11/30/11,12/31/79,5.25%,YES,4,3956,Lancaster Division
98,98,match,5100,5100,match,match/match,Other,,,,,PA,FB,MOWERY,CPA,"32,350.56 ",0.00 ,"32,350.56 ",02/02/16,12/31/79,5.25%,YES,4,15220,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"53,410.00 ",0.00 ,"53,410.00 ",10/04/02,12/31/79,4.25%,no,6,10134,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"19,625.82 ",0.00 ,"19,625.82 ",10/04/02,12/31/79,4.25%,no,6,10134,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"81,800.00 ",0.00 ,"81,800.00 ",10/04/02,12/31/79,4.25%,no,6,10134,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"259,257.00 ",0.00 ,"259,257.00 ",10/04/02,12/31/79,4.25%,no,6,10134,Lancaster Division
98,98,match,8800,8604,diff,match/diff,Homebuilder,,,,,PA,FB,MOWERY,CPA,"99,597.08 ",0.00 ,"99,597.08 ",09/11/06,12/31/79,5.25%,no,6,10134,Lancaster Division
98,98,match,,8604,diff,match/diff,Homebuilder,,,,,PA,FB,MOWERY,CPA,"690,613.67 ",0.00 ,"690,613.67 ",02/12/09,12/31/79,4.25%,no,6,10134,Lancaster Division
98,98,match,,8604,diff,match/diff,Homebuilder,,,,,PA,FB,MOWERY,CPA,"72,056.00 ",0.00 ,"72,056.00 ",06/24/10,12/31/79,5.25%,no,6,10134,Lancaster Division
98,98,match,,8604,diff,match/diff,Homebuilder,,,,,PA,FB,MOWERY,CPA,"149,800.00 ",0.00 ,"149,800.00 ",06/30/10,12/31/79,5.25%,no,6,10134,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"25,000.00 ",0.00 ,"25,000.00 ",11/16/12,12/31/79,4.25%,no,6,10134,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"250,000.00 ",0.00 ,"250,000.00 ",05/14/13,12/31/79,4.25%,no,6,10134,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"624,479.00 ",0.00 ,"624,479.00 ",05/23/17,12/31/79,5.25%,no,4,1595,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"71,359.75 ",0.00 ,"71,359.75 ",05/23/17,12/31/79,5.25%,no,4,1595,Lancaster Division
98,98,match,8401,8401,match,match/match,Office,,,,,PA,FB,MOWERY,CPA,"37,172.40 ",0.00 ,"37,172.40 ",07/17/17,12/31/79,4.75%,no,5,9641,Lancaster Division
98,98,match,8401,8401,match,match/match,Office,,,,,PA,FB,MOWERY,CPA,"85,000.00 ",0.00 ,"85,000.00 ",11/17/16,12/31/79,4.75%,no,5,9641,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"21,400.00 ",0.00 ,"21,400.00 ",06/24/09,12/31/79,5.25%,YES,4,9325,Lancaster Division
98,98,match,8604,8604,match,match/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"822,792.51 ",0.00 ,"822,792.51 ",07/02/09,12/31/79,5.25%,YES,4,9325,Lancaster Division
98,98,match,8800,8300,diff,match/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"70,974.75 ",0.00 ,"70,974.75 ",09/09/14,12/31/79,5.25%,no,5,8423,Lancaster Division
98,98,match,8800,8300,diff,match/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"316,148.58 ",0.00 ,"316,148.58 ",09/09/14,12/31/79,5.25%,no,5,8423,Lancaster Division
98,98,match,8800,8300,diff,match/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"15,567.48 ",0.00 ,"15,567.48 ",06/25/15,12/31/79,5.25%,no,5,8423,Lancaster Division
98,98,match,8800,8300,diff,match/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"204,000.72 ",0.00 ,"204,000.72 ",06/25/15,12/31/79,5.25%,no,5,8423,Lancaster Division
98,98,match,8604,8300,diff,match/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"40,129.00 ",0.00 ,"40,129.00 ",08/21/09,12/31/79,5.25%,YES,4,3956,Lancaster Division
